epoch,task_id,phase,support_loss_0,support_accuracy_0,target_loss_0,target_accuracy_0
0,0,train,1.9661569595336914,0.24,1.7185481786727905,0.26666668
0,1,train,2.0432770252227783,0.2,1.7608901262283325,0.28
0,0,train,2.5609116554260254,0.24,1.906840443611145,0.24
0,1,train,2.9776949882507324,0.08,2.185074806213379,0.21333334
0,0,train,2.5877621173858643,0.12,1.9490857124328613,0.29333332
0,1,train,2.766711473464966,0.2,1.9457852840423584,0.22666667
0,0,train,2.4746756553649902,0.2,1.894179105758667,0.30666667
0,1,train,3.1637585163116455,0.24,1.6191707849502563,0.32
0,0,train,3.396857261657715,0.2,2.1098170280456543,0.2
0,1,train,3.1221115589141846,0.16,1.8584281206130981,0.28
0,0,train,2.795576572418213,0.24,1.7261786460876465,0.30666667
0,1,train,3.8595774173736572,0.16,1.8964754343032837,0.2
0,0,train,3.503537893295288,0.24,1.918192744255066,0.22666667
0,1,train,4.051004409790039,0.16,1.9225598573684692,0.21333334
0,0,train,3.644043207168579,0.2,1.7614418268203735,0.22666667
0,1,train,3.2581183910369873,0.2,1.6124389171600342,0.24
0,0,train,3.6472485065460205,0.16,1.9622292518615723,0.2
0,1,train,3.1887683868408203,0.12,1.8595811128616333,0.22666667
0,0,train,3.3323323726654053,0.28,1.736006498336792,0.25333333
0,1,train,3.5560412406921387,0.24,1.9209572076797485,0.24
0,0,train,2.4534778594970703,0.28,1.655125617980957,0.32
0,1,train,3.076047897338867,0.2,1.6562012434005737,0.33333334
0,0,train,2.7105212211608887,0.2,1.6699351072311401,0.26666668
0,1,train,2.7816648483276367,0.16,1.6484166383743286,0.30666667
0,0,train,2.7669315338134766,0.08,1.9805119037628174,0.17333333
0,1,train,2.4379477500915527,0.24,1.8090673685073853,0.25333333
0,0,train,2.5435738563537598,0.28,1.7038549184799194,0.22666667
0,1,train,2.6082570552825928,0.04,1.6879037618637085,0.33333334
0,0,train,2.6175098419189453,0.12,1.8270601034164429,0.21333334
0,1,train,2.7930541038513184,0.12,1.8758227825164795,0.25333333
0,0,train,2.0420989990234375,0.28,1.773702621459961,0.22666667
0,1,train,2.4531333446502686,0.2,1.865224838256836,0.21333334
0,0,train,2.268632411956787,0.08,1.499604344367981,0.33333334
0,1,train,2.3513715267181396,0.12,1.9431380033493042,0.18666667
0,0,train,2.3828237056732178,0.32,1.7589010000228882,0.26666668
0,1,train,2.176823139190674,0.12,1.697798252105713,0.26666668
0,0,train,1.8351097106933594,0.32,1.7170844078063965,0.29333332
0,1,train,1.8837395906448364,0.2,1.5321450233459473,0.41333333
0,0,train,2.3072054386138916,0.16,1.8507895469665527,0.13333334
0,1,train,2.1367990970611572,0.2,1.9110214710235596,0.18666667
0,0,train,2.2879393100738525,0.12,1.7704418897628784,0.2
0,1,train,2.0630502700805664,0.24,1.6287540197372437,0.30666667
0,0,train,1.8266496658325195,0.32,1.7198917865753174,0.25333333
0,1,train,2.0903263092041016,0.2,1.761819839477539,0.22666667
0,0,train,1.859501600265503,0.2,1.7649412155151367,0.24
0,1,train,2.1335294246673584,0.04,1.7586376667022705,0.22666667
0,0,train,1.8184857368469238,0.2,1.6693801879882812,0.29333332
0,1,train,2.163527488708496,0.2,1.5572457313537598,0.33333334
0,0,train,1.8858431577682495,0.12,1.6077686548233032,0.33333334
0,1,train,2.175107479095459,0.24,1.7543609142303467,0.18666667
0,0,train,1.9725754261016846,0.2,1.6397042274475098,0.24
0,1,train,1.765256404876709,0.28,1.737744927406311,0.28
0,0,train,1.8966052532196045,0.08,1.7540453672409058,0.21333334
0,1,train,2.009955644607544,0.08,1.807121992111206,0.22666667
0,0,train,1.9457391500473022,0.2,1.5923832654953003,0.28
0,1,train,1.7025874853134155,0.24,1.751000165939331,0.24
0,0,train,1.9314193725585938,0.28,1.732808232307434,0.22666667
0,1,train,1.9110312461853027,0.32,1.6099653244018555,0.24
0,0,train,1.8011431694030762,0.16,1.6605435609817505,0.28
0,1,train,1.8533079624176025,0.16,1.504287600517273,0.37333333
0,0,train,1.851333498954773,0.2,1.5400444269180298,0.36
0,1,train,1.9113720655441284,0.12,1.4966239929199219,0.37333333
0,0,train,1.8061140775680542,0.24,1.6626513004302979,0.28
0,1,train,1.8792698383331299,0.12,1.5863111019134521,0.32
0,0,train,1.6977081298828125,0.28,1.5404289960861206,0.34666666
0,1,train,1.7087223529815674,0.24,1.5898094177246094,0.32
0,0,train,1.7154954671859741,0.16,1.6345939636230469,0.32
0,1,train,1.9093005657196045,0.2,1.7299405336380005,0.21333334
0,0,train,1.9073504209518433,0.16,1.6079775094985962,0.28
0,1,train,1.9216527938842773,0.08,1.531107783317566,0.36
0,0,train,1.9787919521331787,0.2,1.7776645421981812,0.2
0,1,train,2.097960948944092,0.16,1.6256475448608398,0.25333333
0,0,train,1.7043304443359375,0.24,1.475826621055603,0.28
0,1,train,1.6396675109863281,0.4,1.5104159116744995,0.33333334
0,0,train,1.825636863708496,0.16,1.6053322553634644,0.29333332
0,1,train,1.7731493711471558,0.24,1.6238831281661987,0.24
0,0,train,1.7466461658477783,0.2,1.5596930980682373,0.32
0,1,train,1.9154119491577148,0.12,1.6088478565216064,0.33333334
0,0,train,1.9171462059020996,0.08,1.6916505098342896,0.29333332
0,1,train,2.0621519088745117,0.16,1.5274856090545654,0.33333334
0,0,train,1.9903678894042969,0.12,1.8309712409973145,0.17333333
0,1,train,1.7814286947250366,0.24,1.7119264602661133,0.21333334
0,0,train,1.773606538772583,0.04,1.567414402961731,0.24
0,1,train,1.603308081626892,0.24,1.4797672033309937,0.38666666
0,0,train,1.9524827003479004,0.04,1.6982654333114624,0.21333334
0,1,train,1.8873419761657715,0.08,1.605135440826416,0.24
0,0,train,1.7610540390014648,0.12,1.7619637250900269,0.24
0,1,train,1.9222825765609741,0.2,1.7758578062057495,0.17333333
0,0,train,1.6956368684768677,0.16,1.6924906969070435,0.18666667
0,1,train,1.7487037181854248,0.16,1.620269536972046,0.29333332
0,0,train,1.6811447143554688,0.36,1.6296758651733398,0.26666668
0,1,train,1.9480443000793457,0.08,1.6959714889526367,0.2
0,0,train,2.01520037651062,0.04,1.749480962753296,0.21333334
0,1,train,1.9771080017089844,0.08,1.6794836521148682,0.25333333
0,0,train,1.8038650751113892,0.12,1.5982202291488647,0.25333333
0,1,train,1.8156222105026245,0.24,1.6079156398773193,0.28
0,0,train,1.8355669975280762,0.32,1.4911057949066162,0.30666667
0,1,train,1.7012792825698853,0.2,1.6105793714523315,0.21333334
0,0,train,1.7849658727645874,0.28,1.7305082082748413,0.2
0,1,train,1.7737160921096802,0.16,1.4987655878067017,0.34666666
0,0,train,1.8318458795547485,0.24,1.5926716327667236,0.33333334
0,1,train,1.6091432571411133,0.24,1.4786816835403442,0.29333332
